Hoy Azimuth Altitude Hor_Angle Ver_Angle
903 225.921729 38.647804 48.064321 48.979184
904 237.363227 27.774896 32.023193 44.321114
905 245.784535 15.614234 17.03697 34.268952
906 252.371213 2.867926 3.008999 9.392732
920 112.198624 12.428341 13.38868 30.255095
921 120.023695 24.846679 28.138639 42.782574
922 130.523769 36.174551 43.888726 48.375138
923 145.21893 45.519709 60.743076 51.111357
924 165.282949 51.39431 78.533491 52.322643
925 188.761835 52.138409 83.246494 52.463822
926 210.121276 47.48089 65.290379 51.581156
927 226.190623 38.883985 48.175956 49.356542
928 237.644396 27.969929 32.154962 44.777735
929 246.065885 15.776866 17.177201 34.85487
930 252.655786 2.999922 3.142567 9.970492
944 111.905587 12.56816 13.511567 30.861627
945 119.727296 25.018209 28.254533 43.263762
946 130.228827 36.38731 43.986257 48.768534
947 144.95969 45.782523 60.808771 51.45622
948 165.145441 51.702051 78.555125 52.645417
949 188.825548 52.455587 83.274919 52.784802
950 210.3394 47.764802 65.364691 51.920204
951 226.468001 39.120364 48.28455 49.738644
952 237.932538 28.164278 32.284228 45.240443
953 246.353088 15.938399 17.315363 35.45085
954 252.945539 3.13104 3.274765 10.565199
967 105.372149 0.059661 0.061858 0.225
968 111.61001 12.712366 13.638756 31.488729
969 119.428264 25.194066 28.374833 43.755433
970 129.93124 36.604449 44.088064 49.168527
971 144.698567 46.049902 60.878753 51.806186
972 165.009406 52.014368 78.580857 52.972465
973 188.89636 52.776297 83.299319 53.109799
974 210.567014 48.050325 65.435427 52.263288
975 226.753843 39.356814 48.389995 50.125322
976 238.227576 28.357843 32.410982 45.709309
977 246.646045 16.098764 17.451426 36.057005
978 253.240366 3.261211 3.405542 11.17783
991 105.070966 0.164533 0.170415 0.632838
992 111.311967 12.86088 13.770182 32.136592
993 119.126644 25.374152 28.499281 44.257247
994 129.631014 36.82586 44.194059 49.575041
995 144.435523 46.321733 60.952836 52.160991
996 164.874842 52.331152 78.610621 53.303753
997 188.97439 53.100416 83.319921 53.438692
998 210.804202 48.337316 65.502595 52.610452
999 227.048127 39.593205 48.492467 50.516585
1000 238.52943 28.550528 32.535166 46.184156
1001 246.944653 16.257896 17.585359 36.673446
