Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover
5297,277.085386,26.200952,26.375374,0.0,4.0,206.0,1.0
5298,282.043316,12.577188,12.850957,0.0,5.0,91.0,1.0
5310,72.851741,0.034543,0.036157,0.0,0.0,0.0,1.0
5311,78.268499,12.947178,13.213827,0.0,0.0,29.0,1.0
5312,83.261213,26.577753,26.737012,0.0,3.0,82.0,1.0
5313,88.390073,40.373132,40.384324,0.0,20.0,234.0,1.0
5314,94.578036,54.206605,54.293421,86.706162,9.0,202.0,1.0
5315,104.561408,67.864551,68.509837,84.160619,126.0,271.0,0.9
5316,134.519636,80.188204,82.970363,83.086146,68.0,457.0,0.9
5317,227.465681,79.839181,82.476809,83.0917,253.0,402.0,0.9
5318,255.831075,67.396496,68.017756,84.181075,98.0,291.0,0.9
5319,265.568034,53.719904,53.801708,86.753514,72.0,262.0,0.9
5320,271.687337,39.879075,39.89127,0.0,223.0,279.0,0.9
5321,276.788351,26.077659,26.237163,0.0,72.0,211.0,0.9
5322,281.775582,12.44327,12.702187,0.0,27.0,114.0,0.9
5335,78.564787,12.880856,13.132743,0.0,4.0,52.0,1.0
5336,83.587002,26.522897,26.66685,0.0,108.0,133.0,0.9
5337,88.774134,40.324119,40.330581,0.0,82.0,226.0,0.9
5338,95.077562,54.154468,54.261351,86.341608,163.0,295.0,0.9
5339,105.321807,67.787592,68.50391,83.841528,119.0,435.0,0.9
5340,135.838021,79.996019,82.993795,82.787898,254.0,296.0,0.9
5341,226.458934,79.602072,82.423371,82.795631,79.0,395.0,0.9
5342,255.15775,67.250856,67.93598,83.869257,122.0,360.0,0.9
5343,265.111267,53.595602,53.695267,86.404236,109.0,436.0,0.9
5344,271.333239,39.757232,39.764857,0.0,79.0,334.0,0.9
5345,276.488422,25.950219,26.095371,0.0,62.0,331.0,0.9
5346,281.505035,12.305458,12.549837,0.0,27.0,85.0,0.9
5359,78.86567,12.815028,13.052516,0.0,12.0,34.0,0.8
5360,83.91761,26.468303,26.597586,0.0,84.0,121.0,0.9
