Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,ED,Val_ED,Optimizer
1932,5,2,45,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,153.306,0.918,221.279,0.0,37.268,0.0,-0.783
1932,5,3,37,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,327.36,0.824,221.553,0.0,33.14,0.0,-0.565
1932,5,4,29,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,181.338,0.903,221.848,0.0,35.951,0.0,-0.783
1932,5,5,9,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,274.646,0.853,222.564,0.0,34.92,0.0,-0.783
1932,5,6,30,0.12,0.983,0.0,0.724,0.0,0.739,0.739,177.912,0.905,221.799,0.0,9.337,0.0,-0.739
1932,5,7,1,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,1048.968,0.44,222.818,0.0,27.602,0.0,-0.391
1932,5,8,19,0.04,0.975,0.0,0.724,0.0,0.217,0.217,781.453,0.581,222.2,0.0,16.324,0.0,-0.217
1932,5,9,31,0.12,0.983,0.0,0.724,0.0,0.739,0.739,177.106,0.905,221.787,0.0,9.556,0.0,-0.739
1932,6,0,5,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1517.601,0.189,222.686,0.0,20.492,0.0,-0.0
1932,6,1,71,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,422.955,0.772,220.376,0.0,33.052,0.0,-0.391
1932,6,2,62,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,424.884,0.771,220.686,0.0,32.285,0.0,-0.391
1932,6,3,0,-0.08,0.97,0.0,0.643,0.0,0.565,0.565,878.484,0.531,222.879,0.0,30.0,0.0,-0.565
1932,6,4,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,6,5,11,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,590.512,0.684,222.462,0.0,30.204,0.0,-0.522
1932,6,6,18,0.12,0.983,0.0,0.724,0.0,0.739,0.739,217.094,0.884,222.223,0.0,6.716,0.0,-0.739
1932,6,7,32,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,173.416,0.907,221.728,0.0,36.176,0.0,-0.783
1932,6,8,3,0.06,0.975,0.0,0.724,0.0,0.348,0.348,967.756,0.483,222.743,0.0,12.293,0.0,-0.348
1932,6,9,0,0.07,0.973,0.0,0.654,0.0,0.739,0.739,1003.297,0.464,222.879,0.0,10.88,0.0,-0.739
1932,7,0,31,0.0,0.973,0.0,0.722,0.0,0.0,0.0,873.66,0.531,221.772,0.0,22.891,0.0,-0.0
1932,7,1,7,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,291.337,0.844,222.632,0.0,34.873,0.0,-0.783
1932,7,2,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,367.493,0.804,222.857,0.0,34.8,0.0,-0.826
1932,7,3,2,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,571.598,0.695,222.798,0.0,32.406,0.0,-0.652
1932,7,4,0,-0.1,0.97,0.0,0.643,0.0,0.696,0.696,628.345,0.664,222.879,0.0,32.4,0.0,-0.696
1932,7,5,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,7,6,20,0.09,0.973,0.0,0.719,0.0,0.565,0.565,415.053,0.778,222.146,0.0,10.314,0.0,-0.565
1932,7,7,6,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1484.362,0.206,222.662,0.0,20.532,0.0,-0.0
1932,7,8,26,-0.03,0.973,0.0,0.722,0.0,0.174,0.174,750.276,0.598,221.944,0.0,25.387,0.0,-0.174
1932,7,9,24,0.12,0.983,0.0,0.724,0.0,0.739,0.739,194.18,0.896,222.008,0.0,8.015,0.0,-0.739
1932,8,0,26,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,562.183,0.698,221.937,0.0,28.763,0.0,-0.391
