Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,4,9,44,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,308.65,0.834,221.32,0.0,-0.565
1932,5,0,90,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.529,0.918,219.722,0.0,-0.783
1932,5,1,30,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,596.311,0.68,221.826,0.0,-0.304
1932,5,2,40,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,159.609,0.914,221.453,0.0,-0.783
1932,5,3,56,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,479.458,0.742,220.894,0.0,-0.304
1932,5,4,35,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,445.292,0.761,221.624,0.0,-0.435
1932,5,5,36,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,277.367,0.851,221.607,0.0,-0.652
1932,5,6,58,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,143.62,0.923,220.829,0.0,-0.783
1932,5,7,60,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,284.95,0.846,220.752,0.0,-0.565
1932,5,8,86,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,295.352,0.84,219.861,0.0,-0.565
1932,5,9,72,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.671,0.923,220.344,0.0,-0.783
1932,6,0,71,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,423.164,0.771,220.356,0.0,-0.391
1932,6,1,70,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.45,0.924,220.416,0.0,-0.783
1932,6,2,45,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,153.713,0.917,221.292,0.0,-0.783
1932,6,3,28,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,184.918,0.901,221.897,0.0,-0.783
1932,6,4,75,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.315,0.923,220.239,0.0,-0.783
1932,6,5,39,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,269.54,0.855,221.508,0.0,-0.652
1932,6,6,55,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,145.36,0.922,220.947,0.0,-0.783
1932,6,7,30,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,178.278,0.904,221.804,0.0,-0.783
1932,6,8,67,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,469.253,0.747,220.518,0.0,-0.304
1932,6,9,64,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.847,0.923,220.632,0.0,-0.783
1932,7,0,57,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,144.172,0.922,220.871,0.0,-0.783
1932,7,1,29,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,539.333,0.711,221.837,0.0,-0.391
1932,7,2,45,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,205.084,0.89,221.298,0.0,-0.696
1932,7,3,62,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.084,0.923,220.67,0.0,-0.783
1932,7,4,48,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,249.72,0.866,221.165,0.0,-0.652
1932,7,5,23,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,532.184,0.715,222.072,0.0,-0.435
1932,7,6,39,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,214.784,0.885,221.491,0.0,-0.696
1932,7,7,29,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,181.468,0.903,221.85,0.0,-0.783
1932,7,8,75,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,519.523,0.719,220.223,0.0,-0.261
1932,7,9,70,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,235.444,0.873,220.413,0.0,-0.652
1932,8,0,14,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,235.576,0.874,222.356,0.0,-0.783
1932,8,1,84,-0.06,0.973,0.0,0.722,0.0,0.478,0.478,437.779,0.763,219.931,0.0,-0.478
1932,8,2,90,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.529,0.918,219.722,0.0,-0.783
1932,8,3,17,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,803.597,0.57,222.249,0.0,-0.261
1932,8,4,30,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,594.538,0.681,221.818,0.0,-0.304
1932,8,5,16,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,452.661,0.758,222.296,0.0,-0.565
1932,8,6,87,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,149.533,0.919,219.796,0.0,-0.783
1932,8,7,60,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.672,0.923,220.743,0.0,-0.783
1932,8,8,15,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,611.226,0.673,222.319,0.0,-0.435
1932,8,9,90,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.529,0.918,219.722,0.0,-0.783
1932,9,0,39,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,429.756,0.769,221.503,0.0,-0.435
1932,9,1,48,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,150.082,0.919,221.167,0.0,-0.783
1932,9,2,69,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,375.856,0.797,220.437,0.0,-0.435
1932,9,3,40,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,159.908,0.914,221.461,0.0,-0.783
1932,9,4,90,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,402.724,0.782,219.722,0.0,-0.435
1932,9,5,37,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,164.285,0.912,221.559,0.0,-0.783
1932,9,6,73,-0.03,0.973,0.0,0.722,0.0,0.348,0.348,564.273,0.695,220.295,0.0,-0.348
1932,9,7,67,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.433,0.924,220.514,0.0,-0.783
1932,9,8,15,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,229.988,0.877,222.319,0.0,-0.783
1932,9,9,51,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,196.739,0.894,221.066,0.0,-0.696
1932,10,0,59,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,143.02,0.923,220.777,0.0,-0.783
1932,10,1,70,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,469.255,0.747,220.423,0.0,-0.304
1932,10,2,90,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.529,0.918,219.722,0.0,-0.783
1932,10,3,6,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,796.176,0.574,222.663,0.0,-0.435
1932,10,4,74,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,471.327,0.745,220.273,0.0,-0.304
1932,10,5,64,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.775,0.923,220.618,0.0,-0.783
1932,10,6,48,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,150.505,0.919,221.183,0.0,-0.783
1932,10,7,90,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.529,0.918,219.722,0.0,-0.783
1932,10,8,60,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,237.431,0.872,220.74,0.0,-0.652
1932,10,9,45,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,154.018,0.917,221.301,0.0,-0.783
