,Hoy,SD_Angle,SD_Position
769,1762,12,0.14
770,1763,21,0.02
771,1764,90,0.14
772,1765,56,0.11
773,1766,58,0.09
774,1767,14,0.03
775,1768,60,-0.09
776,1769,65,-0.05
777,1770,69,0.06
778,1783,28,0.07
779,1784,41,-0.04
780,1785,42,-0.11
781,1786,90,-0.11
782,1787,88,0.14
783,1788,42,-0.01
784,1789,53,0.14
785,1790,37,0.04
786,1791,10,-0.09
787,1792,0,0.06
788,1793,69,0.01
789,1794,22,0.03
790,1807,25,-0.07
791,1808,17,-0.09
792,1809,0,0.03
793,1810,54,0.11
794,1811,29,-0.01
795,1812,57,-0.12
796,1813,47,-0.02
797,1814,72,0.13
798,1815,48,-0.05
799,1816,47,-0.07
800,1817,0,-0.05
801,1818,6,-0.01
802,1831,80,-0.04
803,1832,0,0.03
804,1833,35,-0.05
805,1834,54,-0.03
806,1835,59,-0.05
807,1836,61,0.08
808,1837,52,0.14
809,1838,1,-0.06
810,1839,47,0.03
811,1840,60,0.02
812,1841,23,-0.06
813,1842,7,-0.03
814,1855,41,-0.05
815,1856,49,-0.05
816,1857,76,0
817,1858,43,-0.03
818,1859,44,0.14
819,1860,33,-0.07
820,1861,24,0.13
821,1862,16,0.02
822,1863,68,-0.02
823,1864,54,0.07
824,1865,77,-0.04
825,1866,28,0.08
826,1879,59,-0.11
827,1880,63,0.04
828,1881,56,-0.01
829,1882,90,0.06
830,1883,0,-0.04
831,1884,86,0.06
832,1885,53,-0.05
833,1886,0,-0.03
834,1887,2,-0.05
835,1888,64,0.04
836,1889,67,-0.01
837,1890,76,0.08
838,1903,38,-0.05
839,1904,37,0.05
840,1905,51,-0.02
841,1906,68,-0.08
842,1907,88,0.05
843,1908,0,-0.04
844,1909,2,0.14
845,1910,22,0.03
846,1911,53,0.1
847,1912,17,-0.02
848,1913,26,-0.06
849,1914,58,0
850,1927,35,-0.1
851,1928,20,-0.01
852,1929,43,-0.05
853,1930,30,0.02
854,1931,28,-0.02
855,1932,35,0.08
