Unnamed: 0,Hoy,SD_Angle,SD_Position,Shaded_Ratio,Unshaded_Ratio
1163,2437,0,-0.06,0.640752,0.359248
1164,2438,24,-0.07,0.699187,0.300813
1165,2439,10,0.05,0.636687,0.363313
1166,2440,56,-0.05,0.855691,0.144309
1167,2441,66,-0.01,0.014736,0.985264
1168,2442,21,-0.04,0.004065,0.995935
1169,2455,37,0.02,0.012703,0.987297
1170,2456,0,-0.03,0.805386,0.194614
1171,2457,57,0,0.858232,0.141768
1172,2458,12,0.03,0.749492,0.250508
1173,2459,69,-0.06,0.857724,0.142276
1174,2460,73,-0.01,0.900407,0.099593
1175,2461,43,-0.1,0.559959,0.440041
1176,2462,9,-0.05,0.754065,0.245935
1177,2463,64,-0.03,0.884654,0.115346
1178,2464,50,-0.06,0.836382,0.163618
1179,2465,0,0.08,0.013211,0.986789
1180,2466,46,0.03,0.003049,0.996951
1181,2479,47,0.02,0.017276,0.982724
1182,2480,49,0.04,0.804878,0.195122
1183,2481,50,-0.09,0.79624,0.20376
1184,2482,17,-0.11,0.527947,0.472053
1185,2483,48,-0.11,0.568089,0.431911
1186,2484,62,0.06,0.543699,0.456301
1187,2485,52,-0.06,0.816565,0.183435
1188,2486,62,0.02,0.788618,0.211382
1189,2487,43,0.05,0.636687,0.363313
1190,2488,53,-0.03,0.82876,0.17124
1191,2489,76,0.03,0.008638,0.991362
1192,2490,47,-0.03,0.011687,0.988313
1193,2503,66,-0.06,0.017785,0.982215
1194,2504,47,-0.09,0.010163,0.989837
1195,2505,9,-0.11,0.629065,0.370935
1196,2506,56,-0.1,0.689024,0.310976
1197,2507,16,-0.07,0.682419,0.317581
1198,2508,76,-0.04,0.898374,0.101626
1199,2509,43,-0.04,0.89685,0.10315
1200,2510,90,-0.08,0.741362,0.258638
1201,2511,52,0,0.86687,0.13313
1202,2512,10,0.04,0.706809,0.293191
1203,2513,60,0.07,0.015752,0.984248
1204,2514,74,0.02,0.005081,0.994919
1205,2527,44,0,0.016768,0.983232
1206,2528,73,0.02,0.003049,0.996951
1207,2529,75,-0.1,0.756606,0.243394
1208,2530,61,-0.06,0.852642,0.147358
1209,2531,78,0.01,0.826728,0.173272
1210,2532,77,0.11,0.246443,0.753557
1211,2533,32,-0.09,0.600102,0.399898
1212,2534,30,-0.06,0.78811,0.21189
1213,2535,18,-0.01,0.86687,0.13313
1214,2536,15,0.07,0.636687,0.363313
1215,2537,55,-0.02,0.018801,0.981199
1216,2538,9,-0.04,0.018801,0.981199
1217,2551,28,0.07,0.007114,0.992886
1218,2552,57,-0.08,0.015752,0.984248
1219,2553,53,-0.05,0.814024,0.185976
1220,2554,47,0,0.867886,0.132114
1221,2555,71,0,0.882622,0.117378
1222,2556,28,-0.02,0.900407,0.099593
1223,2557,19,-0.12,0.38313,0.61687
1224,2558,33,-0.11,0.52998,0.47002
1225,2559,52,0.05,0.631098,0.368902
1226,2560,17,-0.09,0.77439,0.22561
1227,2561,53,0.05,0.014736,0.985264
1228,2562,4,0.07,0.009146,0.990854
1229,2575,19,-0.07,0.016768,0.983232
1230,2576,64,-0.02,0.021341,0.978659
1231,2577,34,-0.02,0.813516,0.186484
1232,2578,36,0.01,0.816565,0.183435
1233,2579,16,-0.06,0.73628,0.26372
1234,2580,12,-0.07,0.662602,0.337398
1235,2581,70,0.03,0.700203,0.299797
1236,2582,57,0.02,0.770325,0.229675
1237,2583,87,-0.07,0.826728,0.173272
1238,2584,67,-0.01,0.756606,0.243394
1239,2585,60,-0.06,0.014736,0.985264
1240,2586,0,-0.01,0.014228,0.985772
1241,2599,24,0.04,0.019817,0.980183
1242,2600,74,-0.04,0.008638,0.991362
1243,2601,0,-0.1,0.670732,0.329268
1244,2602,11,-0.03,0.867378,0.132622
1245,2603,79,-0.01,0.882622,0.117378
1246,2604,53,0,0.880589,0.119411
1247,2605,47,-0.06,0.835874,0.164126
1248,2606,50,0.04,0.664126,0.335874
1249,2607,50,-0.02,0.849593,0.150407
1250,2608,51,-0.03,0.737805,0.262195
1251,2609,35,-0.01,0.019817,0.980183
1252,2610,4,-0.09,0.017785,0.982215
1253,2623,66,0.01,0.004573,0.995427
1254,2624,11,-0.07,0.004573,0.995427
1255,2625,44,0.05,0.652947,0.347053
1256,2626,1,0.04,0.676321,0.323679
1257,2627,39,0.04,0.661585,0.338415
1258,2628,50,-0.01,0.880589,0.119411
1259,2629,30,0.05,0.581809,0.418191
1260,2630,57,0.02,0.753049,0.246951
1261,2631,63,-0.03,0.832317,0.167683
1262,2632,38,0.05,0.680386,0.319614
1263,2633,54,-0.02,0.011687,0.988313
1264,2634,48,0.06,0.009146,0.990854
1265,2646,11,0.05,0.014228,0.985772
1266,2647,44,0.08,0.011179,0.988821
1267,2648,87,-0.07,0.01372,0.98628
1268,2649,14,-0.05,0.762703,0.237297
1269,2650,35,-0.11,0.643801,0.356199
1270,2651,42,0,0.863821,0.136179
1271,2652,45,0.03,0.702236,0.297764
1272,2653,15,-0.03,0.879065,0.120935
1273,2654,60,-0.02,0.862297,0.137703
1274,2655,36,-0.03,0.832317,0.167683
1275,2656,49,0.05,0.679878,0.320122
1276,2657,31,0,0.006606,0.993394
1277,2658,11,-0.04,0.002033,0.997967
1278,2670,68,0.06,0.016768,0.983232
1279,2671,4,-0.08,0.004573,0.995427
1280,2672,42,-0.08,0.009654,0.990346
1281,2673,11,-0.05,0.740346,0.259654
1282,2674,11,-0.08,0.6875,0.3125
1283,2675,51,0.03,0.700711,0.299289
1284,2676,0,0.04,0.642785,0.357215
1285,2677,0,0.02,0.760671,0.239329
1286,2678,38,-0.08,0.749492,0.250508
1287,2679,15,-0.09,0.681402,0.318598
1288,2680,70,-0.07,0.678862,0.321138
1289,2681,61,-0.01,0.005081,0.994919
1290,2682,3,0.05,0.003557,0.996443
1291,2694,52,0.05,0.017785,0.982215
1292,2695,49,-0.01,0.001524,0.998476
1293,2696,46,-0.03,0.006606,0.993394
1294,2697,76,-0.02,0.702236,0.297764
1295,2698,19,-0.1,0.640244,0.359756
1296,2699,28,-0.06,0.826728,0.173272
1297,2700,71,-0.1,0.676321,0.323679
1298,2701,54,0.06,0.509654,0.490346
1299,2702,24,-0.07,0.754065,0.245935
1300,2703,79,-0.01,0.799289,0.200711
1301,2704,44,0,0.678354,0.321646
1302,2705,61,-0.03,0.015244,0.984756
1303,2706,73,-0.11,0.007114,0.992886
1304,2718,37,0.03,0.013211,0.986789
1305,2719,23,-0.06,0.019817,0.980183
1306,2720,49,0.05,0.003557,0.996443
1307,2721,55,-0.04,0.686484,0.313516
1308,2722,32,-0.03,0.832317,0.167683
1309,2723,0,0,0.863821,0.136179
1310,2724,45,0.04,0.622967,0.377033
1311,2725,1,0.03,0.683435,0.316565
1312,2726,60,0.06,0.527947,0.472053
1313,2727,39,0.02,0.70935,0.29065
1314,2728,75,-0.02,0.677846,0.322154
1315,2729,35,-0.05,0.020325,0.979675
1316,2730,8,-0.06,0.017785,0.982215
1317,2742,24,0.02,0.019309,0.980691
1318,2743,60,-0.04,0.018293,0.981707
1319,2744,59,0.03,0.001524,0.998476
1320,2745,58,-0.01,0.657012,0.342988
1321,2746,39,-0.03,0.815549,0.184451
1322,2747,51,0.03,0.682419,0.317581
1323,2748,76,-0.01,0.860772,0.139228
1324,2749,48,-0.05,0.859248,0.140752
1325,2750,38,-0.11,0.629065,0.370935
1326,2751,2,-0.06,0.75,0.25
1327,2752,42,-0.04,0.676829,0.323171
1328,2753,4,-0.06,0.01626,0.98374
1329,2754,53,0.05,0.014736,0.985264
1330,2766,83,-0.06,0.005589,0.994411
1331,2767,69,0,0.018293,0.981707
1332,2768,35,0.03,0.001016,0.998984
1333,2769,17,-0.07,0.640752,0.359248
1334,2770,11,0.02,0.721037,0.278963
1335,2771,0,-0.01,0.84502,0.15498
1336,2772,35,0,0.860772,0.139228
1337,2773,64,0.03,0.664126,0.335874
1338,2774,89,-0.09,0.797764,0.202236
1339,2775,9,0.04,0.621951,0.378049
1340,2776,45,0.05,0.017276,0.982724
1341,2777,2,-0.07,0.015752,0.984248
1342,2778,2,-0.04,0.01372,0.98628
1343,2790,43,0.03,0.019817,0.980183
1344,2791,34,0.02,0.007114,0.992886
1345,2792,81,-0.07,0.017276,0.982724
1346,2793,54,-0.04,0.636179,0.363821
