Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,8,2,76,0.03,0.975,0.0,0.724,0.0,0.478,0.478,567.207,0.693,220.199,0.0,-0.478
1932,8,3,17,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,817.059,0.562,222.277,0.0,-0.261
1932,8,4,26,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,190.378,0.898,221.964,0.0,-0.783
1932,8,5,43,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,155.231,0.917,221.337,0.0,-0.783
1932,8,6,15,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1159.96,0.379,222.345,0.0,-0.0
1932,8,7,43,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,669.834,0.64,221.349,0.0,-0.13
1932,8,8,84,0.05,0.975,0.0,0.724,0.0,0.783,0.783,487.809,0.736,219.905,0.0,-0.783
1932,8,9,71,-0.03,0.973,0.0,0.722,0.0,0.217,0.217,562.724,0.696,220.382,0.0,-0.217
1932,9,0,90,0.06,0.975,0.0,0.724,0.0,0.739,0.739,452.759,0.755,219.722,0.0,-0.739
1932,9,1,69,0.06,0.975,0.0,0.724,0.0,0.522,0.522,422.552,0.772,220.438,0.0,-0.522
1932,9,2,76,0.03,0.975,0.0,0.724,0.0,0.478,0.478,567.207,0.693,220.199,0.0,-0.478
1932,9,3,38,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,592.145,0.682,221.518,0.0,-0.261
1932,9,4,12,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,825.105,0.558,222.435,0.0,-0.304
1932,9,5,19,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,212.881,0.886,222.189,0.0,-0.783
1932,9,6,81,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,289.628,0.843,220.009,0.0,-0.565
1932,9,7,83,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,388.666,0.79,219.945,0.0,-0.435
1932,9,8,90,0.07,0.973,0.0,0.719,0.0,0.739,0.739,402.724,0.782,219.722,0.0,-0.739
1932,9,9,78,0.12,0.983,0.0,0.724,0.0,0.783,0.783,143.466,0.922,220.124,0.0,-0.783
1932,10,0,90,-0.02,0.973,0.0,0.722,0.0,0.522,0.522,652.225,0.647,219.722,0.0,-0.522
1932,10,1,90,0.09,0.973,0.0,0.719,0.0,0.783,0.783,302.449,0.836,219.722,0.0,-0.783
1932,10,2,74,0.03,0.975,0.0,0.724,0.0,0.348,0.348,565.17,0.695,220.261,0.0,-0.348
1932,10,3,0,0.04,0.969,0.0,0.643,0.0,0.217,0.217,1376.706,0.265,222.879,0.0,-0.217
1932,10,4,48,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,150.157,0.919,221.17,0.0,-0.783
1932,10,5,39,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,321.469,0.827,221.488,0.0,-0.565
1932,10,6,76,0.0,0.973,0.0,0.722,0.0,0.391,0.391,707.445,0.618,220.202,0.0,-0.391
1932,10,7,41,0.0,0.973,0.0,0.722,0.0,0.043,0.043,787.983,0.576,221.435,0.0,-0.043
1932,10,8,83,0.0,0.973,0.0,0.722,0.0,0.478,0.478,724.235,0.608,219.957,0.0,-0.478
1932,10,9,74,-0.02,0.973,0.0,0.722,0.0,0.304,0.304,612.184,0.669,220.251,0.0,-0.304
