,vis,sd_angle,sd_location
317,0.7826087,44,-0.12
318,0.7826087,45,-0.12
319,0.7826087,46,-0.12
320,0.7826087,47,-0.12
321,0.7826087,48,-0.12
322,0.7826087,49,-0.12
323,0.7826087,50,-0.12
324,0.7826087,51,-0.12
325,0.7826087,52,-0.12
326,0.7826087,53,-0.12
327,0.7826087,54,-0.12
328,0.7826087,55,-0.12
329,0.7826087,56,-0.12
330,0.7826087,57,-0.12
331,0.7826087,58,-0.12
332,0.7826087,59,-0.12
333,0.7826087,60,-0.12
334,0.7826087,61,-0.12
335,0.7826087,62,-0.12
336,0.7826087,63,-0.12
337,0.7826087,64,-0.12
338,0.7826087,65,-0.12
339,0.7826087,66,-0.12
340,0.7826087,67,-0.12
341,0.7826087,68,-0.12
342,0.7826087,69,-0.12
343,0.7826087,70,-0.12
344,0.7826087,71,-0.12
345,0.7826087,72,-0.12
346,0.7826087,73,-0.12
347,0.7826087,74,-0.12
348,0.7826087,75,-0.12
349,0.7826087,76,-0.12
350,0.7826087,77,-0.12
351,0.7826087,78,-0.12
352,0.7826087,79,-0.12
353,0.7826087,80,-0.12
354,0.7826087,81,-0.12
355,0.7826087,82,-0.12
356,0.7826087,83,-0.12
357,0.7826087,84,-0.12
358,0.7826087,85,-0.12
359,0.7826087,86,-0.12
360,0.7826087,87,-0.12
361,0.7826087,88,-0.12
362,0.7826087,89,-0.12
363,0.7826087,90,-0.12
364,0.69565217,0,-0.11
365,0.69565217,1,-0.11
366,0.69565217,2,-0.11
367,0.69565217,3,-0.11
368,0.69565217,4,-0.11
369,0.69565217,5,-0.11
370,0.69565217,6,-0.11
371,0.69565217,7,-0.11
372,0.69565217,8,-0.11
373,0.69565217,9,-0.11
374,0.69565217,10,-0.11
375,0.69565217,11,-0.11
376,0.69565217,12,-0.11
377,0.69565217,13,-0.11
378,0.69565217,14,-0.11
379,0.69565217,15,-0.11
380,0.69565217,16,-0.11
381,0.69565217,17,-0.11
382,0.69565217,18,-0.11
383,0.69565217,19,-0.11
384,0.69565217,20,-0.11
385,0.69565217,21,-0.11
386,0.69565217,22,-0.11
387,0.69565217,23,-0.11
388,0.69565217,24,-0.11
389,0.69565217,25,-0.11
390,0.69565217,26,-0.11
391,0.69565217,27,-0.11
392,0.69565217,28,-0.11
393,0.69565217,29,-0.11
394,0.69565217,30,-0.11
395,0.69565217,31,-0.11
396,0.69565217,32,-0.11
397,0.69565217,33,-0.11
398,0.69565217,34,-0.11
399,0.69565217,35,-0.11
400,0.69565217,36,-0.11
401,0.69565217,37,-0.11
402,0.69565217,38,-0.11
403,0.69565217,39,-0.11
404,0.69565217,40,-0.11
405,0.69565217,41,-0.11
406,0.69565217,42,-0.11
407,0.69565217,43,-0.11
408,0.69565217,44,-0.11
409,0.69565217,45,-0.11
410,0.69565217,46,-0.11
411,0.69565217,47,-0.11
412,0.69565217,48,-0.11
413,0.69565217,49,-0.11
414,0.69565217,50,-0.11
415,0.69565217,51,-0.11
416,0.69565217,52,-0.11
417,0.69565217,53,-0.11
418,0.69565217,54,-0.11
419,0.69565217,55,-0.11
420,0.69565217,56,-0.11
421,0.69565217,57,-0.11
422,0.69565217,58,-0.11
423,0.69565217,59,-0.11
424,0.69565217,60,-0.11
425,0.69565217,61,-0.11
426,0.69565217,62,-0.11
427,0.69565217,63,-0.11
428,0.69565217,64,-0.11
429,0.69565217,65,-0.11
430,0.69565217,66,-0.11
431,0.69565217,67,-0.11
432,0.69565217,68,-0.11
433,0.69565217,69,-0.11
434,0.69565217,70,-0.11
435,0.69565217,71,-0.11
436,0.69565217,72,-0.11
437,0.69565217,73,-0.11
438,0.69565217,74,-0.11
439,0.69565217,75,-0.11
440,0.69565217,76,-0.11
441,0.69565217,77,-0.11
442,0.69565217,78,-0.11
443,0.69565217,79,-0.11
444,0.69565217,80,-0.11
445,0.69565217,81,-0.11
446,0.69565217,82,-0.11
447,0.69565217,83,-0.11
448,0.69565217,84,-0.11
449,0.69565217,85,-0.11
450,0.69565217,86,-0.11
451,0.69565217,87,-0.11
452,0.69565217,88,-0.11
453,0.69565217,89,-0.11
454,0.69565217,90,-0.11
455,0.65217391,0,-0.1
456,0.65217391,1,-0.1
457,0.65217391,2,-0.1
458,0.65217391,3,-0.1
