,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
367,881,56,0.05,0.39130435,0.7241,0.2759
368,896,6,-0.06,0.39130435,0.6707,0.3293
369,897,41,0.04,0.2173913,0.7551,0.2449
370,898,63,0.12,0.7826087,0.2846,0.7154
371,899,86,0.13,0.86956522,0.2068,0.7932
372,900,71,0.07,0.52173913,0.5635,0.4365
373,901,22,0.08,0.47826087,0.4919,0.5081
374,902,49,0.12,0.73913043,0.2663,0.7337
375,903,85,-0.11,0.73913043,0.3227,0.6773
376,904,62,0.03,0.26086957,0.7901,0.2099
377,905,32,-0.03,0.2173913,0.8338,0.1662
378,920,65,-0.03,0.26086957,0.6819,0.3181
379,921,36,-0.1,0.65217391,0.435,0.565
380,922,1,0.12,0.73913043,0.2851,0.7149
381,923,90,0.14,0.91304348,0.1474,0.8526
382,924,69,0.08,0.56521739,0.5041,0.4959
383,925,87,0.02,0.65217391,0.7967,0.2033
384,926,46,0.12,0.73913043,0.2663,0.7337
385,927,61,0.01,0.17391304,0.9029,0.0971
386,928,38,-0.05,0.34782609,0.7012,0.2988
387,929,0,-0.06,0.39130435,0.6707,0.3293
388,944,46,0.05,0.26086957,0.7246,0.2754
389,945,10,-0.08,0.52173913,0.5483,0.4517
390,946,30,-0.07,0.43478261,0.594,0.406
391,947,77,0.14,0.91304348,0.1474,0.8526
392,948,40,0.1,0.60869565,0.3852,0.6148
393,949,21,0.14,0.86956522,0.126,0.874
394,950,37,-0.02,0.13043478,0.8806,0.1194
395,951,9,-0.07,0.43478261,0.5833,0.4167
396,952,18,-0.08,0.52173913,0.5361,0.4639
397,953,49,0.05,0.26086957,0.7241,0.2759
398,968,48,-0.09,0.60869565,0.503,0.497
399,969,35,-0.07,0.43478261,0.6042,0.3958
400,970,2,-0.07,0.43478261,0.594,0.406
401,971,72,0.1,0.65217391,0.3852,0.6148
402,972,16,0.11,0.69565217,0.3257,0.6743
403,973,28,-0.03,0.2173913,0.8374,0.1626
404,974,20,-0.03,0.17391304,0.8211,0.1789
