Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover,max_irradiance,max_pv_generation
2393,269.523908,22.671209,22.671891,88.860454,85.0,214.0,0.6,2202.8981059351295,10573.91090848862
2394,275.159806,8.899102,8.934731,0.0,22.0,104.0,0.8,445.4504689604651,2138.1622510102325
2407,85.615425,11.347399,11.379819,0.0,0.0,43.0,0.9,5.159999999999999,24.767999999999997
2408,91.257633,25.153013,25.158315,87.323839,11.0,118.0,0.9,273.0527521506733,1310.6532103232319
2409,97.698925,38.95422,39.208088,80.591169,57.0,215.0,0.9,1137.6639335896446,5460.786881230294
2410,106.445619,52.503561,53.652871,77.745315,214.0,270.0,0.9,10345.050896902852,49656.24430513369
2411,121.582738,65.209569,68.522668,76.401881,133.0,436.0,0.9,2003.6761446747876,9617.64549443898
2412,156.36176,74.633776,83.712,75.869227,90.0,423.0,0.9,4505.666553716682,21627.199457840074
2413,212.312399,73.488347,80.996093,75.93516,78.0,376.0,0.9,2251.8284320381304,10808.776473783026
2414,242.048764,63.095788,65.856666,76.621412,61.0,390.0,0.9,1191.1099993686933,5717.327996969728
2415,255.510788,50.161944,51.070108,78.20943,73.0,328.0,0.9,1253.5872994633223,6017.219037423947
2416,263.682555,36.548946,36.71604,81.556608,8.0,253.0,0.9,358.57252412215445,1721.1481157863414
2417,269.921267,22.74239,22.742394,89.81222,29.0,185.0,0.9,958.7639967547602,4602.067184422849
2418,275.529952,8.973683,9.014967,0.0,6.0,101.0,0.9,144.1343212671231,691.8447420821909
2431,85.291549,11.540064,11.578076,0.0,0.0,30.0,0.9,3.5999999999999996,17.279999999999998
2432,90.905094,25.344122,25.346901,88.08984,4.0,134.0,0.9,107.06118264469988,513.8936766945594
2433,97.293722,39.152066,39.380186,81.137261,7.0,254.0,0.9,171.0638573873838,821.1065154594422
2434,105.951852,52.723133,53.801526,78.184764,17.0,313.0,0.9,727.9103348158968,3493.969607116305
2435,120.975324,65.481285,68.640895,76.788944,12.0,333.0,1.0,286.9126232556512,1377.1805916271258
2436,156.062579,74.996841,83.793998,76.236074,3.0,465.0,1.0,179.49202755418978,861.561732260111
2437,213.164246,73.771624,80.953064,76.306622,17.0,421.0,1.0,1040.8992437152103,4996.316369833009
2438,242.799151,63.247823,65.851322,77.024096,5.0,383.0,1.0,140.973670330474,676.6736175862751
2439,256.070419,50.259108,51.097418,78.681943,34.0,340.0,1.0,713.0509748877602,3422.644679461249
2440,264.134788,36.624926,36.769004,82.172519,28.0,354.0,1.0,1074.7263489303655,5158.6864748657545
2441,270.316146,22.813006,22.813329,0.0,22.0,243.0,0.9,674.9887854366638,3239.946170095986
2442,275.897541,9.048291,9.095643,0.0,0.0,113.0,0.9,13.56,65.088
2455,84.969,11.730272,11.7744,0.0,5.0,37.0,0.8,137.34070390003146,659.235378720151
2456,90.553389,25.532258,25.533279,88.841664,180.0,112.0,0.7,3924.234485261396,18836.3255292547
2457,96.888468,39.346329,39.549954,81.677036,150.0,222.0,0.7,2925.916477431537,14044.399091671376
2458,105.45572,52.938346,53.947988,78.620245,178.0,300.0,0.7,4450.061250316677,21360.294001520047
2459,120.357954,65.747975,68.75701,77.173116,141.0,498.0,0.8,4972.455672835014,23867.787229608068
2460,155.747516,75.35673,83.874119,76.600366,171.0,550.0,0.9,3940.2449489000155,18913.175754720072
2461,214.036417,74.050052,80.911485,76.675703,57.0,386.0,0.9,3490.732018185694,16755.51368729133
2462,243.55114,63.395711,65.846981,77.424337,3.0,297.0,1.0,108.95147814184158,522.9670950808395
2463,256.627933,50.353841,51.125466,79.151341,59.0,284.0,1.0,2108.3314896375637,10119.991150260304
2464,264.584441,36.699613,36.822516,82.783577,40.0,189.0,1.0,1518.304264772945,7287.860470910136
2465,270.70842,22.883103,22.884651,0.0,5.0,233.0,1.0,169.6367176344966,814.2562446455836
2466,276.26246,9.122957,9.176817,0.0,1.0,76.0,1.0,36.32287358919602,174.3497932281409
2479,84.647844,11.917926,11.968589,0.0,0.0,42.0,0.9,5.04,24.192
2480,90.20261,25.717332,25.717495,89.579333,7.0,130.0,0.9,177.41023371713712,851.5691218422581
2481,96.483289,39.536918,39.717461,82.210596,30.0,229.0,0.9,663.091324822684,3182.8383591488832
2482,104.957398,53.149094,54.09213,79.051819,16.0,308.0,0.9,361.62214993673626,1735.786319696334
2483,119.730689,66.009482,68.871016,77.554295,81.0,411.0,0.9,4331.008473310425,20788.84067189004
2484,155.415476,75.713297,83.952442,76.962068,52.0,483.0,0.9,951.9564800916094,4569.391104439725
2485,214.929017,74.323511,80.871401,77.042357,43.0,313.0,0.9,1478.6391262379868,7097.467805942337
2486,244.304287,63.539487,65.843714,77.821901,39.0,304.0,1.0,1965.913204484166,9436.383381523996
2487,257.18309,50.446207,51.154246,79.617537,62.0,360.0,1.0,2885.4957364050356,13850.37953474417
2488,265.031357,36.773066,36.876549,83.389594,238.0,338.0,0.7,5453.474272856604,26176.6765097117
2489,271.097963,22.952725,22.956475,0.0,235.0,224.0,0.4,5757.686007290543,27636.892834994604
2490,276.624597,9.197712,9.258479,0.0,75.0,117.0,0.2,1579.966130124092,7583.837424595641
2503,84.328154,12.10293,12.160726,0.0,0.0,35.0,0.1,4.2,20.16
2504,89.852852,25.899255,25.899337,0.0,47.0,150.0,0.1,977.0088646140154,4689.642550147273
2505,96.078317,39.723747,39.882613,82.737661,172.0,280.0,0.2,2940.412255740858,14113.978827556119
2506,104.457069,53.355279,54.233955,79.4793,283.0,388.0,0.2,4531.430888335944,21750.86826401253
2507,119.093623,66.265653,68.982829,77.932333,328.0,469.0,0.2,17437.13867648048,83698.26564710631
2508,155.065293,76.066388,84.028877,77.321155,366.0,520.0,0.2,5251.066528865716,25205.119338555432
2509,215.842113,74.591882,80.8328,77.406424,341.0,583.0,0.2,4413.002098556473,21182.41007307107
2510,245.058142,63.679194,65.841518,78.216664,363.0,488.0,0.2,19098.403979090668,91672.33909963521
2511,257.735653,50.536271,51.183851,80.08036,250.0,453.0,0.3,10615.52000584933,50954.496028076785
2512,265.47538,36.845341,36.9312,83.990218,208.0,356.0,0.3,2689.631827555693,12910.232772267325
2513,271.484652,23.021918,23.028839,0.0,64.0,317.0,0.4,1032.1803724643107,4954.465787828692
2514,276.983839,9.272583,9.340706,0.0,8.0,123.0,0.5,190.8106792416335,915.8912603598408
