,vis,sd_angle,sd_position
388,65.217391,24.0,-0.1
389,65.217391,25.0,-0.1
390,65.217391,26.0,-0.1
391,65.217391,27.0,-0.1
392,65.217391,28.0,-0.1
393,65.217391,29.0,-0.1
394,65.217391,30.0,-0.1
395,65.217391,31.0,-0.1
396,65.217391,32.0,-0.1
397,65.217391,33.0,-0.1
398,65.217391,34.0,-0.1
399,65.217391,35.0,-0.1
400,65.217391,36.0,-0.1
401,65.217391,37.0,-0.1
402,65.217391,38.0,-0.1
403,65.217391,39.0,-0.1
404,65.217391,40.0,-0.1
405,65.217391,41.0,-0.1
406,65.217391,42.0,-0.1
407,65.217391,43.0,-0.1
408,65.217391,44.0,-0.1
409,65.217391,45.0,-0.1
410,65.217391,46.0,-0.1
411,65.217391,47.0,-0.1
412,65.217391,48.0,-0.1
413,65.217391,49.0,-0.1
414,65.217391,50.0,-0.1
415,65.217391,51.0,-0.1
416,65.217391,52.0,-0.1
417,65.217391,53.0,-0.1
418,65.217391,54.0,-0.1
419,65.217391,55.0,-0.1
420,65.217391,56.0,-0.1
421,65.217391,57.0,-0.1
422,65.217391,58.0,-0.1
423,65.217391,59.0,-0.1
424,65.217391,60.0,-0.1
425,65.217391,61.0,-0.1
426,65.217391,62.0,-0.1
427,65.217391,63.0,-0.1
428,65.217391,64.0,-0.1
429,65.217391,65.0,-0.1
430,65.217391,66.0,-0.1
431,65.217391,67.0,-0.1
432,65.217391,68.0,-0.1
433,65.217391,69.0,-0.1
434,65.217391,70.0,-0.1
435,65.217391,71.0,-0.1
436,65.217391,72.0,-0.1
437,65.217391,73.0,-0.1
438,65.217391,74.0,-0.1
439,65.217391,75.0,-0.1
440,65.217391,76.0,-0.1
441,65.217391,77.0,-0.1
442,65.217391,78.0,-0.1
443,69.565217,79.0,-0.1
444,69.565217,80.0,-0.1
445,69.565217,81.0,-0.1
446,69.565217,82.0,-0.1
447,69.565217,83.0,-0.1
448,69.565217,84.0,-0.1
449,69.565217,85.0,-0.1
450,69.565217,86.0,-0.1
451,69.565217,87.0,-0.1
452,69.565217,88.0,-0.1
453,69.565217,89.0,-0.1
454,69.565217,90.0,-0.1
455,60.869565,0.0,-0.09
456,56.521739,1.0,-0.09
457,56.521739,2.0,-0.09
458,56.521739,3.0,-0.09
459,56.521739,4.0,-0.09
460,56.521739,5.0,-0.09
461,56.521739,6.0,-0.09
462,56.521739,7.0,-0.09
463,56.521739,8.0,-0.09
464,56.521739,9.0,-0.09
465,56.521739,10.0,-0.09
466,56.521739,11.0,-0.09
467,56.521739,12.0,-0.09
468,56.521739,13.0,-0.09
469,56.521739,14.0,-0.09
470,56.521739,15.0,-0.09
471,56.521739,16.0,-0.09
472,56.521739,17.0,-0.09
473,56.521739,18.0,-0.09
474,56.521739,19.0,-0.09
475,56.521739,20.0,-0.09
476,56.521739,21.0,-0.09
477,56.521739,22.0,-0.09
478,56.521739,23.0,-0.09
479,56.521739,24.0,-0.09
480,56.521739,25.0,-0.09
481,56.521739,26.0,-0.09
482,56.521739,27.0,-0.09
483,56.521739,28.0,-0.09
484,56.521739,29.0,-0.09
485,56.521739,30.0,-0.09
486,56.521739,31.0,-0.09
487,56.521739,32.0,-0.09
488,56.521739,33.0,-0.09
489,56.521739,34.0,-0.09
490,56.521739,35.0,-0.09
491,56.521739,36.0,-0.09
492,56.521739,37.0,-0.09
493,56.521739,38.0,-0.09
494,56.521739,39.0,-0.09
495,56.521739,40.0,-0.09
496,56.521739,41.0,-0.09
497,56.521739,42.0,-0.09
498,56.521739,43.0,-0.09
499,56.521739,44.0,-0.09
500,56.521739,45.0,-0.09
501,56.521739,46.0,-0.09
502,56.521739,47.0,-0.09
503,60.869565,48.0,-0.09
504,60.869565,49.0,-0.09
505,60.869565,50.0,-0.09
506,60.869565,51.0,-0.09
507,60.869565,52.0,-0.09
